Country,Carrier,Email-to-SMS
United States,Airfire Mobile,number@sms.airfiremobile.com
United States,Alaska Communications,number@msg.acsalaska.com
United States,Alltel (Allied Wireless),number@sms.alltelwireless.com
United States,Ameritech,number@paging.acswireless.com
United States,Assurance Wireless,number@vmobl.com
United States,AT&T Enterprise Paging,number@page.att.net
United States,AT&T Global Smart Messaging Suite,number@sms.smartmessagingsuite.com
United States,AT&T grandfathered customers,number@mmode.com
United States,AT&T Mobility,number@txt.att.net
United States,AT&T Mobility (formerly Cingular),number@cingularme.com
United States,AT&T Mobility (formerly Cingular),number@mobile.mycingular.com
United States,BellSouth,number@bellsouth.cl
United States,Bluegrass Cellular,number@sms.bluecell.com
United States,Boost Mobile,number@sms.myboostmobile.com
United States,C Beyond (All Page Wireless),number@cbeyond.sprintpcs.com
United States,C Spire Wireless,number@cspire1.com
United States,Cellcom,number@cellcom.quiktxt.com
United States,Cellular South,number@csouth1.com
United States,Chariton Valley Wireless,number@sms.cvalley.net
United States,Chat Mobility,number@mail.msgsender.com
United States,Cincinnati Bell,number@mms.gocbw.com
United States,Cingular (Postpaid),number@cingular.com
United States,Cingular (Postpaid),number@mobile.mycingular.com
United States,Cleartalk,number@sms.cleartalk.us
United States,Consumer Cellular,number@cingularme.com
United States,Consumer Cellular,number@mailmymobile.net
United States,Cricket,number@sms.mycricket.com
United States,Cricket,number@sms.cricketwireless.net
United States,DTC,number@sms.advantagecell.net
United States,Edge Wireless,number@sms.edgewireless.com
United States,Element Mobile,number@SMS.elementmobile.net
United States,Esendex,number@echoemail.net
United States,i-wireless (Sprint PCS),number@iwirelesshometext.com
United States,Kajeet,number@mobile.kajeet.net
United States,LongLines,number@text.longlines.com
United States,Mellon Mobile,number@mellonmobile.ga
United States,MetroPCS,number@mymetropcs.com
United States,Nextech,number@sms.ntwls.net
United States,Page Plus Cellular(Verizon MVNO),number@vtext.com
United States,Pioneer Cellular,nine-digit-number@zsend.com
United States,Qwest Wireless,number@qwestmp.com
United States,Red Pocket Mobile(AT&T MVNO),number@txt.att.net
United States,Simple Mobile,number@smtext.com
United States,Solavei,XXXYYYZZZZ@tmomail.net
United States,South Central Communications,number@rinasms.com
United States,Southernlinc,number@page.southernlinc.com
United States,Sprint,number@messaging.sprintpcs.com
United States,Sprint,number@pm.sprint.com
United States,Straight Talk,number@messaging.sprintpcs.com
United States,Straight Talk,number@txt.att.net
United States,Straight Talk,number@mmst5.tracfone.com
United States,Straight Talk,number@vtext.com
United States,Syringa Wireless,number@rinasms.com
United States,T-Mobile,number@tmomail.net
United States,Teleflip,number@teleflip.com
United States,Ting,number@message.ting.com
United States,Unicel,number@utext.com
United States,Union Wireless,number@union-tel.com
United States,US Cellular,number@email.uscc.net
United States,USA Mobility,number@usamobility.net
United States,Verizon Wireless,number@vtext.com
United States,Verizon Wireless (Alltel),number@text.wireless.alltel.com
United States,Verizon Wireless (Alltel),number@text.wireless.alltel.com
United States,Verizon Wireless (Alltel),number@vtext.com
United States,Viaero,number@viaerosms.com
United States,Virgin Mobile,number@vmobl.com
United States,Voyager Mobile,number@text.voyagermobile.com
United States,West Central Wireless,number@sms.wcc.net
United States,Centennial Wireless,number@cwemail.com
United States,TracFone (prepaid),number@mmst5.tracfone.com
United States,TracFone,number@txt.att.net
United States,TracFone (prepaid),number@email.uscc.net
United States,TracFone (prepaid),number@message.alltel.com
United States,TracFone (prepaid),number@tmomail.net
United States,TracFone (prepaid),number@vtext.com
Australia,All Australian Mobile Networks,number@sms.itcompany.com.au
Australia,Esendex,number@echoemail.net
Australia,SMS Broadcast,number@send.smsbroadcast.com.au
Australia,SMS Central,number@sms.smscentral.com.au
Australia,SMS Global,number@email.smsglobal.com
Australia,SMSPUP,number@smspup.com
Australia,T-Mobile / Optus,0number@optusmobile.com.au
Australia,Telstra,sms@tim.telstra.com
Australia,UTBox,number@sms.utbox.net
New Zealand,Spark New Zealand,number@etxt.co.nz
New Zealand,Vodafone,number@mtxt.co.nz
Russia,Beeline,number@sms.beemail.ru
Argentina,CTI / Claro,number@sms.ctimovil.com.ar
Argentina,Movistar,number@sms.movistar.net.ar
Argentina,Nextel,TwoWay.11number@nextel.net.ar
Argentina,Personal,number@alertas.personal.com.ar
Aruba,Setar / Aruba,297number@mas.aw
Brazil,Claro,number@clarotorpedo.com.br
Brazil,Vivo,number@torpedoemail.com.br
Colombia,Claro,number@iclaro.com.co
Colombia,Movistar,number@movistar.com.co
Colombia,Tigo,number@sms.tigo.com.co
Dominica,Digicel,number@digitextdm.com
Guyana,Guyana Telephone &Telegraph,number@sms.cellinkgy.com
Uruguay,Movistar,95number@sms.movistar.com.uy
Japan,Vodafone,@n.vodafone.ne.jp
